Player,Team,Age,GP,W,L,Min,PTS,FG%,3P%,FT%,AST,PF
Jayson Tatum,BOS,25,72,51,21,2674.5,2185,46.7,35.4,85.7,332,156
Joel Embiid,PHI,29,64,42,22,2215.1,2110,54.2,33.0,85.8,266,201
Luka Doncic,DAL,24,64,32,32,2339.2,2096,49.8,34.7,74.2,520,162
Shai Gilgeous-Alexander,OKC,24,66,32,34,2344.6,2081,51.0,34.6,90.8,357,184
Julius Randle,NYK,28,77,44,33,2737.3,1936,45.9,34.3,75.7,316,233
Giannis Antetokounmpo,MIL,28,62,46,16,1990.8,1931,55.3,27.5,64.6,349,194
Donovan Mitchell,CLE,26,67,43,24,2391.4,1879,48.2,38.3,86.6,297,166
Damian Lillard,POR,32,58,27,31,2106.6,1866,46.3,37.1,91.4,425,109
Anthony Edwards,MIN,21,76,37,39,2746.7,1864,46.0,36.8,75.9,340,181
Trae Young,ATL,24,71,37,34,2459.5,1862,42.9,33.8,88.6,705,102
Zach LaVine,CHI,28,74,37,37,2671.4,1857,48.8,38.4,84.9,312,155
DeMar DeRozan,CHI,33,71,36,35,2584.8,1771,50.8,33.1,87.0,364,179
De'Aaron Fox,SAC,25,70,43,27,2355.5,1762,51.6,32.7,77.7,427,170
Jaylen Brown,BOS,26,66,45,21,2366.0,1759,49.3,33.9,76.9,227,172
Lauri Markkanen,UTA,25,66,32,34,2272.5,1691,49.9,39.2,87.5,123,137
Nikola Jokic,DEN,28,67,48,19,2271.7,1670,63.4,39.0,82.3,664,171
Pascal Siakam,TOR,29,68,34,34,2552.6,1651,47.7,32.7,76.8,405,218
Jalen Brunson,NYK,26,68,40,28,2378.7,1633,49.1,41.6,82.9,421,152
Jordan Poole,GSW,23,79,41,38,2390.8,1616,43.1,33.4,87.2,358,204
Jalen Green,HOU,21,73,17,56,2497.4,1611,41.6,33.5,78.6,267,130
Mikal Bridges,BKN,26,79,40,39,2848.7,1599,47.5,39.9,90.1,263,155
Kyrie Irving,DAL,31,59,31,28,2197.2,1592,49.3,37.4,90.4,323,162
